time,close,high,low,open,volume
2020-01-01 23:00:00,1520.136,1520.631,1519.046,1519.384,86
2020-01-01 23:01:00,1520.576,1520.576,1519.868,1520.092,47
2020-01-01 23:02:00,1520.494,1520.536,1520.346,1520.536,24
2020-01-01 23:03:00,1520.524,1520.524,1520.29,1520.452,15
2020-01-01 23:04:00,1520.799,1520.995,1520.482,1520.576,44
2020-01-01 23:05:00,1521.084,1521.167,1520.656,1520.758,36
2020-01-01 23:06:00,1521.112,1521.112,1520.946,1521.044,9
2020-01-01 23:07:00,1521.325,1521.368,1521.154,1521.154,11
2020-01-01 23:08:00,1521.2,1521.367,1521.102,1521.367,15
2020-01-01 23:09:00,1520.986,1521.158,1520.934,1521.158,11
2020-01-01 23:10:00,1520.367,1520.923,1520.367,1520.923,37
2020-01-01 23:11:00,1520.446,1520.463,1520.189,1520.326,26
2020-01-01 23:12:00,1520.079,1520.404,1520.038,1520.404,18
2020-01-01 23:13:00,1519.688,1520.038,1519.644,1520.038,23
2020-01-01 23:14:00,1519.842,1520.066,1519.728,1519.728,16
2020-01-01 23:15:00,1519.845,1519.932,1519.758,1519.8,10
2020-01-01 23:16:00,1520.06,1520.06,1519.758,1519.801,9
2020-01-01 23:17:00,1520.308,1520.308,1520.103,1520.103,9
2020-01-01 23:18:00,1519.988,1520.319,1519.988,1520.266,16
2020-01-01 23:19:00,1519.984,1520.031,1519.888,1519.944,6
2020-01-01 23:20:00,1519.899,1519.948,1519.899,1519.942,4
2020-01-01 23:21:00,1519.69,1519.858,1519.682,1519.858,15
2020-01-01 23:22:00,1519.958,1519.958,1519.731,1519.731,6
2020-01-01 23:23:00,1519.826,1519.917,1519.826,1519.917,3
2020-01-01 23:24:00,1519.618,1519.786,1519.572,1519.786,9
2020-01-01 23:25:00,1519.927,1519.927,1519.616,1519.662,9
2020-01-01 23:26:00,1519.71,1519.887,1519.669,1519.887,7
2020-01-01 23:27:00,1519.536,1519.704,1519.536,1519.664,8
2020-01-01 23:28:00,1519.436,1519.58,1519.436,1519.58,6
2020-01-01 23:29:00,1519.692,1519.692,1519.306,1519.476,14
2020-01-01 23:30:00,1519.735,1519.819,1519.732,1519.732,7
2020-01-01 23:31:00,1519.61,1519.695,1519.484,1519.695,9
2020-01-01 23:32:00,1519.642,1519.694,1519.642,1519.652,3
2020-01-01 23:34:00,1519.468,1519.601,1519.468,1519.601,4
2020-01-01 23:35:00,1519.138,1519.64,1519.138,1519.515,15
2020-01-01 23:36:00,1519.09,1519.098,1518.905,1519.098,9
2020-01-01 23:37:00,1519.187,1519.312,1519.046,1519.046,10
2020-01-01 23:38:00,1519.144,1519.228,1519.144,1519.228,5
2020-01-01 23:39:00,1519.414,1519.414,1519.196,1519.196,8
2020-01-01 23:40:00,1519.548,1519.638,1519.456,1519.456,7
2020-01-01 23:41:00,1519.67,1519.72,1519.59,1519.59,11
2020-01-01 23:42:00,1519.54,1519.628,1519.54,1519.628,3
2020-01-01 23:43:00,1519.36,1519.497,1519.36,1519.497,4
2020-01-01 23:44:00,1519.492,1519.492,1519.278,1519.319,7
2020-01-01 23:45:00,1519.19,1519.45,1519.19,1519.45,7
2020-01-01 23:46:00,1519.149,1519.233,1519.149,1519.233,3
2020-01-01 23:47:00,1518.67,1519.122,1518.641,1519.104,29
2020-01-01 23:48:00,1518.885,1518.885,1518.711,1518.711,7
2020-01-01 23:49:00,1518.704,1518.842,1518.57,1518.842,12
2020-01-01 23:50:00,1518.742,1518.746,1518.654,1518.746,5
